ナレーション	皆さんこんにちは！今回は、
タイトル	危険なダイエットとオススメのダイエット
ナレーション	私も年々体重が増えて、楽そうな方法に何度も振り回されたことがあります。
ナレーション	調べるほど分かったのは、40代以降は「やめるもの」と「続けるもの」を間違えないことが大事だということでした。
ナレーション	遠回りをしたくない方は、後悔する前に、チャンネル登録していただけたら嬉しいです。
ナレーション	それではいってみよう！！
イッチ	更年期で体重が増えて焦って、ネット広告で見たやつを片っ端から試したら逆に2キロ太って、産婦人科の先生に「それ全部やめて」って言われたわ。
スレ民3	安いとか楽そうとかで選ぶダイエットって、結局回り道になりやすいんだなって、最近しみじみ痛感してる。
スレ民1	私も「飲むだけで痩せる」系の広告に何度引っかかったか分からない。あれ全部、根拠ないやつだったんだ。
スレ民5	元保健センター勤めの母から言われたんだけど、流行りの極端な方法より、地味な習慣の方が長く効くんだって。
スレ民6	やめた方がいいダイエットを10個、本当に痩せた方法を10個、両方教えてほしいんだ。下から順に紹介してくれると分かりやすい。
スレ民3	やめた方がいいダイエット10位は、卵とグレープフルーツだけ食べる「国立病院ダイエット」ね。昔から流行ってる都市伝説系。
スレ民1	え、それ私の母親が若い頃やってた気がする。デンマークの国立病院考案って本当だったの？
スレ民3	実は病院公式発祥とは確認しにくいダイエット法って後から判明したんだ。出典不明のまま広まったやつ。
スレ民4	うちの叔母も若い頃やって便秘で失神したって聞いた。卵とグレフルだけだと栄養バランス崩れるよね。
スレ民6	友人も真似して2週間で5キロ落としたんだけど、肌が荒れて生理も止まって、結局婦人科通いになったの。	SE1
スレ民5	元管理栄養士の従姉妹も「単品系の都市伝説ダイエットは医学的根拠ゼロ。短期で痩せても代償が大きい」って言い切ってた。
スレ民2	「○○病院考案」「医師監修」って書いてあると信じちゃうけど、出典をたどると意外とフワッとしてるパターン多い。
スレ民3	ダイエット情報の信憑性は、出典・大学・公的機関名がはっきり書いてあるかでチェックする癖をつけたい。
スレ民3	やめた方がいいダイエット9位は、貼るだけ・塗るだけ系の部分痩せグッズ。痩せる石鹸とか、塗る風邪薬をラップで巻くやつ。
スレ民1	え、塗る風邪薬って？昔流行ったメ○タムっぽいの塗ってラップ巻くやつ？あれって本当に効果ないの？
スレ民4	うちの妹がやって、汗疹だらけで皮膚科に駆け込んだ。何時間もラップ巻くと肌に負担が大きいんだなって思った。
スレ民3	消費者庁の景品表示法違反措置命令でも、根拠なく「○○するだけで部分痩せ」と表示した商品が何度も処分されてる。
スレ民5	元エステ勤務の知人も「皮膚に塗ったり貼ったりするだけで脂肪が減る商品は、医学的にあり得ない」って断言してた。
スレ民6	友人が高校生の時、雑誌で見た「痩せる石鹸」を3つも買って、結局財布だけ痩せたって笑い話してたよ。
スレ民2	部分痩せは医学的に証明されてない。脂肪は全身から少しずつ落ちるって、医師の本でもはっきり書かれてる事実。
スレ民1	「貼るだけ」「塗るだけ」「履くだけ」系の言葉が出てきたら、まず一度立ち止まって、家族に相談する癖をつけたい。
スレ民3	やめた方がいいダイエット8位は、カイロを"あそこ"に貼るだけで痩せる系の温活ダイエット。
スレ民1	あ、見たことある。カイロをあそこに貼るだけで代謝アップ、みたいなやつでしょ。
スレ民3	お尻の割れ目の少し上、仙骨あたりを温める方法ね。冷え対策としては悪くないんだけど、脂肪が勝手に燃えるみたいに思うのは危ない。
